Product,Category,Summary,Text
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 Required Data Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Data Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Data Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/acquire
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功取得此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj1，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj1，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj1，有在 Required Control Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Control Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj1，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Control Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/control
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功 設定 此點位的資料
3.預期在模擬裝置上，可以看到此點位數值被修改，且數值正確
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 config.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/cfg_mgmt/config.json 檔案
Expected Results:
1. 預期 config.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 rules.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/rules.json 檔案
Expected Results:
1. 預期 rules.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 Local DB 的 data_types TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data_types TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data_types where data_uuid='<DATA UUID>';'
<DATA UUID> 要換成點位的 Data UUID
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 Local DB 的 data TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data where data_id=<DATA ID> limit 10 ;'
<DATA ID> 要換成點位的 Data ID (Local DB data_types 的 index
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有上傳到 Cassandra/dps/datapoints,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 開啟 Cassandra DB，Cassandra/dps/datapoins
2. 檢查點位資訊
Expected Results:
1. 確認 Cassandra DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有上傳到 IoEP device_data,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 檢查點位資訊，是否有確實上傳到 IoEP
Expected Results:
1. 確認 DB eg3 -> device_data 內，有這個 Modbus 點位的資料 (data_uuid 欄位，要符合此點位的 UUID)
2. 確認 DB eg3 -> device_data 內，上傳點位資料的 interval 為 1分鐘一筆(根據 IoE Suite 設定)
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，有在 Required Data Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Data Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj2，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Data Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/acquire
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功取得此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj2，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj2，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj2，有在 Required Control Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Control Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setActiveAdj2，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Control Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/control
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功 設定 此點位的資料
3.預期在模擬裝置上，可以看到此點位數值被修改，且數值正確
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 config.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/cfg_mgmt/config.json 檔案
Expected Results:
1. 預期 config.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 rules.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/rules.json 檔案
Expected Results:
1. 預期 rules.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 Local DB 的 data_types TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data_types TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data_types where data_uuid='<DATA UUID>';'
<DATA UUID> 要換成點位的 Data UUID
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 Local DB 的 data TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data where data_id=<DATA ID> limit 10 ;'
<DATA ID> 要換成點位的 Data ID (Local DB data_types 的 index
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有上傳到 Cassandra/dps/datapoints,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 開啟 Cassandra DB，Cassandra/dps/datapoins
2. 檢查點位資訊
Expected Results:
1. 確認 Cassandra DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有上傳到 IoEP device_data,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 檢查點位資訊，是否有確實上傳到 IoEP
Expected Results:
1. 確認 DB eg3 -> device_data 內，有這個 Modbus 點位的資料 (data_uuid 欄位，要符合此點位的 UUID)
2. 確認 DB eg3 -> device_data 內，上傳點位資料的 interval 為 1分鐘一筆(根據 IoE Suite 設定)
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，有在 Required Data Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Data Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj1，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Data Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/acquire
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功取得此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj1，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj1，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj1，有在 Required Control Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Control Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj1，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Control Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/control
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功 設定 此點位的資料
3.預期在模擬裝置上，可以看到此點位數值被修改，且數值正確
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 config.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/cfg_mgmt/config.json 檔案
Expected Results:
1. 預期 config.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 rules.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/rules.json 檔案
Expected Results:
1. 預期 rules.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 Local DB 的 data_types TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data_types TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data_types where data_uuid='<DATA UUID>';'
<DATA UUID> 要換成點位的 Data UUID
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 Local DB 的 data TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data where data_id=<DATA ID> limit 10 ;'
<DATA ID> 要換成點位的 Data ID (Local DB data_types 的 index
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有上傳到 Cassandra/dps/datapoints,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 開啟 Cassandra DB，Cassandra/dps/datapoins
2. 檢查點位資訊
Expected Results:
1. 確認 Cassandra DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有上傳到 IoEP device_data,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 檢查點位資訊，是否有確實上傳到 IoEP
Expected Results:
1. 確認 DB eg3 -> device_data 內，有這個 Modbus 點位的資料 (data_uuid 欄位，要符合此點位的 UUID)
2. 確認 DB eg3 -> device_data 內，上傳點位資料的 interval 為 1分鐘一筆(根據 IoE Suite 設定)
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，有在 Required Data Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Data Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getReactiveAdj2，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Data Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/acquire
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功取得此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj2，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj2，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj2，有在 Required Control Scopes 清單內,"Pre-condition 
1. 已經創建 IoE Suite Service
Test Steps:
1.登入IOE suite/Developer
2.選擇 Service
3.查看 Required Control Scopes
4. 選擇 Huawei_SmartLogger 裝置
Expected Results:
1. 確認 Huawei_SmartLogger 裝置 底下的 Scope 清單內，有此點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 setReactiveAdj2，可以透過 ioeapi 取資料,"Precondition: 
1.GW 已經關聯 Huawei_SmartLogger裝置 
2. IoE Suite 的 Required Control Scopes 已經加入此點位 scope
3. 使用者已經訂閱此 IoE Service
Test step:
1. 打 API 來取得此點位的資料 
https://ioeapi-qa.nextdrive.io/v1/devices/deviceUuid/control
Expected results:
1. 預期 API request 回傳的 status code 為 200
2. 預期 API response 可以成功 設定 此點位的資料
3.預期在模擬裝置上，可以看到此點位數值被修改，且數值正確
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 config.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/cfg_mgmt/config.json 檔案
Expected Results:
1. 預期 config.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 rules.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/rules.json 檔案
Expected Results:
1. 預期 rules.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 Local DB 的 data_types TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data_types TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data_types where data_uuid='<DATA UUID>';'
<DATA UUID> 要換成點位的 Data UUID
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有在 Local DB 的 data TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data where data_id=<DATA ID> limit 10 ;'
<DATA ID> 要換成點位的 Data ID (Local DB data_types 的 index
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有上傳到 Cassandra/dps/datapoints,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 開啟 Cassandra DB，Cassandra/dps/datapoins
2. 檢查點位資訊
Expected Results:
1. 確認 Cassandra DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActivePowerAdjPercentage，有上傳到 IoEP device_data,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 檢查點位資訊，是否有確實上傳到 IoEP
Expected Results:
1. 確認 DB eg3 -> device_data 內，有這個 Modbus 點位的資料 (data_uuid 欄位，要符合此點位的 UUID)
2. 確認 DB eg3 -> device_data 內，上傳點位資料的 interval 為 1分鐘一筆(根據 IoE Suite 設定)
"
